id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
SPC2375,AJA,contact,AJA,Rana boylii,Field,3/23/2021,March,3,qPCR,1,NULL,1529.4,91761.5,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,M,A,51.8,51.8,NA,N,NULL,NA,NULL,NULL,NA,NA
4313,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/23/2018,1534982400,8,qPCR,NULL,1,NULL,78142,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,40,9,NA,N,9.82E+14,NA,668152,4424001,NA,NA
SKS007,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/6/2014,1412553600,10,qPCR,1,NULL,1198.604813,71916.28878,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,28,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS088,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/22/2015,1429660800,4,qPCR,1,NULL,1139.873734,68392.42404,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,37.4,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK2020.1,SJK,contact,skupferberg@gmail.com,Rana boylii,Field,3/10/2020,March,3,qPCR,1,NULL,953.0113867,57180.6832,NA,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,39.1,8.9,"reddish feet, water temp 13.5",N,NULL,y,NULL,NULL,1,NA
SKS015,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/6/2014,1412553600,10,qPCR,1,NULL,930.1413727,55808.48236,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,29,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS009,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/6/2014,1412553600,10,qPCR,1,NULL,885.4894257,53129.36554,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,26,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
1255,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/4/2020,August,8,qPCR,1,NULL,NULL,52516.8901,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,48,13.2,NA,Y,9.00067E+14,NA,446178,4399298,NA,NA
3180,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/26/2017,1506384000,9,qPCR,NULL,1,NULL,50212,NA,NA,Gold Run Creek,Slate,0,Yuba,Yuba,NNS,NA,NA,NA,NA,NA,NA,M,A,50,17,NA,NA,9.82E+14,NA,669839,4387086,NA,NA
3856,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/15/2018,1529020800,6,qPCR,NULL,1,NULL,46545,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,M,A,43,9,NA,N,9.82E+14,NA,637416,4412253,NA,NA
4286,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,40518,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,44,9,NA,N,9.82E+14,NA,663206,4425135,NA,NA
SPC 2397,AJA,contact,AJA,Rana boylii,Field,3/24/2021,March,3,qPCR,1,NULL,653.9,39236.8,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,M,A,54.5,54.5,NA,N,NULL,NA,NULL,NULL,NA,NA
806,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,1,NULL,NULL,38923.3673,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,49,11.2,NA,Y,9.00043E+14,NA,446003,4399166,NA,NA
PTOF16-KGHB-11F,aja,contact,"jonah.piovia-scott@wsu.edu, koen@springrivers.com",Rana boylii,Field,9/27/2016,1474934400,9,qPCR,1,NULL,4639.8,37300,oligonucleodide,NA,"Map in ""Pit 4 Schematic Breeding Sites 2015.jpg""",Pit4,1,Pit,Shasta,NNC,NA,NA,NA,NA,NA,NA,M,A,43.8,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS141,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,8/28/2015,1440720000,8,qPCR,1,NULL,604.8736,36292.416,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
4280,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/23/2018,1534982400,8,qPCR,NULL,1,NULL,35950,NA,NA,Wapaunsie Creek,Wapaunsie,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,44,9,NA,N,9.82E+14,NA,667674,4424374,NA,NA
AAS 1148,AJA,contact,AJA,Rana boylii,Field,4/24/2021,April,4,qPCR,1,NULL,585.2,35114.3,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,M,A,47,16,NA,N,NULL,NA,NULL,NULL,NA,NA
835,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/20/2018,June,6,qPCR,1,NULL,NULL,32885.594,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,44,11.5,NA,Y,9.00067E+14,NA,445904,4399127,NA,NA
3145,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/12/2017,1505174400,9,qPCR,NULL,1,NULL,31405,NA,NA,Whitlock Creek,Whitlock,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,37,13,NA,NA,NULL,NA,669346,4424344,NA,NA
689,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/22/2018,June,6,qPCR,1,NULL,NULL,30326.6644,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,62,26.1,NA,NA,NULL,NA,446709,4399473,NA,NA
4225,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/18/2018,1529280000,6,qPCR,NULL,1,NULL,28892,NA,NA,Bean Culvert to Tributary,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,47,14,NA,N,9.82E+14,NA,663352,4426489,NA,NA
695,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/20/2018,June,6,qPCR,1,NULL,NULL,28326.277,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,55,17.4,NA,NA,NULL,NA,446309,4399351,NA,NA
SKS058,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,435.9458923,26156.75354,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,38.7,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS048,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,435.9458923,26156.75354,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,49.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK13,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/22/2013,1385078400,11,qPCR,1,NULL,426.4,25584,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,25,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
737,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2018,July,7,qPCR,1,NULL,NULL,23612.5965,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,50,11.5,NA,NA,NULL,NA,446211,4399324,NA,NA
SPC 2316,AJA,contact,AJA,Rana boylii,Field,4/10/2021,April,4,qPCR,1,NULL,387.7,23261.5,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,M,A,47,13,NA,N,NULL,NA,NULL,NULL,NA,NA
6619,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/10/2020,June,6,qPCR,1,NULL,NULL,20125,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,48,14,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
1006,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/21/2019,August,8,qPCR,1,NULL,NULL,19154.3036,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,14.8,NA,Y,9.00043E+14,NA,446123,4399211,NA,NA
SK1,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,287.2,17232,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
685,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/20/2018,June,6,qPCR,1,NULL,NULL,16882.8742,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,49,13.5,NA,NA,NULL,NA,445881,4399138,NA,NA
5704,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/5/2019,1559692800,6,qPCR,NULL,1,NULL,16871.94,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,F,A,59,28,NA,N,9.82E+14,NA,637460,4412253,NA,NA
6599,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/19/2020,May,5,qPCR,1,NULL,NULL,16529,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,47,14,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
4289,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,16198,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,40,7,NA,N,9.82E+14,NA,663206,4425135,NA,NA
PH416-KGHB-16Y,aja,contact,"jonah.piovia-scott@wsu.edu, koen@springrivers.com",Rana boylii,Field,9/28/2016,1475020800,9,qPCR,1,NULL,2676.6,15800,oligonucleodide,NA,"Map in ""Pit 4 Schematic Breeding Sites 2015.jpg""",Pit4,1,Pit,Shasta,NNC,NA,NA,NA,NA,NA,NA,U,J,23.7,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
887,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2019,July,7,qPCR,1,NULL,NULL,15322.288,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,13.1,NA,NA,NULL,NA,445863,4399141,NA,NA
SK4,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,244.8,14688,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,24,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
4296,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,14625,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,61,31,NA,N,9.82E+14,NA,663206,4425135,NA,NA
7327,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/13/2020,May,5,qPCR,1,NULL,NULL,14132,NA,NA,BEAN,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,41,8,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
SKS160,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,9/11/2015,1441929600,9,qPCR,1,NULL,234.412,14064.72,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,67,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK3,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,222.4,13344,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,29,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
749,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/22/2018,June,6,qPCR,1,NULL,NULL,12869.9567,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,47,12.5,NA,Y,9.00043E+14,NA,446139,4399226,NA,NA
SKS073,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,3/19/2015,1426723200,3,qPCR,1,NULL,208.8182831,12529.09699,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,41.9,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
4302,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,12445,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,54,22,NA,N,9.82E+14,NA,662766,4425255,NA,NA
6490,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,4/19/2020,April,4,qPCR,1,NULL,NULL,11832,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,43,12.5,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
850,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/19/2018,July,7,qPCR,1,NULL,NULL,11642.6614,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,56,19.2,NA,Y,9.00067E+14,NA,446153,4399277,NA,NA
4257,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,11313,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,55,24,NA,N,9.82E+14,NA,663389,4424886,NA,NA
725,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,1,NULL,NULL,11069.1132,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,U,NA,40,6.2,NA,Y,9.00043E+14,NA,446746,4399479,NA,NA
4223,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/18/2018,1529280000,6,qPCR,NULL,1,NULL,10629,NA,NA,Bean Culvert to Tributary,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,63,35,NA,N,9.82E+14,NA,663564,4426228,NA,NA
AS6,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,3/20/2014,1395273600,3,qPCR,1,NULL,149.6607494,8979.644964,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.",Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,50,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
